step,episode,ep_return,moving_return,loss,epsilon
50,1,-6.3000,-6.3000,,0.9995
100,2,-7.5000,-6.9000,,0.9990
150,3,-7.5000,-7.1000,,0.9986
200,4,-6.3000,-6.9000,,0.9981
250,5,-7.5000,-7.0200,,0.9976
300,6,-7.5000,-7.1000,,0.9971
350,7,-5.7000,-6.9000,,0.9967
400,8,-6.9000,-6.9000,,0.9962
450,9,-8.7000,-7.1000,,0.9957
500,10,-6.9000,-7.0800,,0.9952
550,11,-8.1000,-7.1727,,0.9948
600,12,-8.1000,-7.2500,,0.9943
650,13,-7.5000,-7.2692,,0.9938
700,14,-8.7000,-7.3714,,0.9933
750,15,-8.1000,-7.4200,,0.9929
800,16,-6.9000,-7.3875,,0.9924
850,17,-8.1000,-7.4294,,0.9919
900,18,-8.1000,-7.4667,,0.9914
950,19,-6.9000,-7.4368,,0.9910
1000,20,-7.5000,-7.4400,,0.9905
1050,21,-6.3000,-7.3857,,0.9900
1100,22,-6.9000,-7.3636,0.014822,0.9896
1150,23,-7.5000,-7.3696,,0.9891
1200,24,-8.1000,-7.4000,0.005272,0.9886
1250,25,-6.9000,-7.3800,,0.9881
1300,26,-8.1000,-7.4077,0.004418,0.9877
1350,27,-7.5000,-7.4111,,0.9872
1400,28,-9.3000,-7.4786,0.003985,0.9867
1450,29,-8.1000,-7.5000,,0.9862
1500,30,-8.1000,-7.5200,0.006233,0.9858
1550,31,-6.9000,-7.5000,,0.9853
1600,32,-8.1000,-7.5187,0.002927,0.9848
1650,33,-7.5000,-7.5182,,0.9843
1700,34,-8.1000,-7.5353,0.004957,0.9839
1750,35,-8.1000,-7.5514,,0.9834
1800,36,-8.1000,-7.5667,0.004520,0.9829
1850,37,-8.1000,-7.5811,,0.9824
1900,38,-8.1000,-7.5947,0.008568,0.9819
1950,39,-8.7000,-7.6231,,0.9815
2000,40,-6.9000,-7.6050,0.003448,0.9810
2050,41,-7.5000,-7.6024,,0.9805
2100,42,-6.9000,-7.5857,0.008172,0.9800
2150,43,-8.7000,-7.6116,,0.9796
2200,44,-8.7000,-7.6364,0.004871,0.9791
2250,45,-6.3000,-7.6067,,0.9786
2300,46,-7.5000,-7.6043,0.004643,0.9781
2350,47,-8.1000,-7.6149,,0.9777
2400,48,-6.9000,-7.6000,0.003763,0.9772
2450,49,-8.1000,-7.6102,,0.9767
2500,50,-8.1000,-7.6200,0.004347,0.9762
2550,51,-8.7000,-7.6680,,0.9758
2600,52,-6.3000,-7.6440,0.008883,0.9753
2650,53,-7.5000,-7.6440,,0.9748
2700,54,-6.3000,-7.6440,0.003566,0.9743
2750,55,-6.9000,-7.6320,,0.9739
2800,56,-4.5000,-7.5720,0.010327,0.9734
2850,57,-7.5000,-7.6080,,0.9729
2900,58,-8.7000,-7.6440,0.002245,0.9724
2950,59,-8.1000,-7.6320,,0.9720
3000,60,-7.5000,-7.6440,0.007776,0.9715
3050,61,-7.5000,-7.6320,,0.9710
3100,62,-6.9000,-7.6080,0.008804,0.9706
3150,63,-8.7000,-7.6320,,0.9701
3200,64,-7.5000,-7.6080,0.006529,0.9696
3250,65,-8.7000,-7.6200,,0.9691
3300,66,-8.1000,-7.6440,0.004574,0.9687
3350,67,-6.9000,-7.6200,,0.9682
3400,68,-7.5000,-7.6080,0.004046,0.9677
3450,69,-6.9000,-7.6080,,0.9672
3500,70,-8.1000,-7.6200,0.013543,0.9667
3550,71,-8.1000,-7.6560,,0.9663
3600,72,-7.5000,-7.6680,0.002287,0.9658
3650,73,-8.1000,-7.6800,,0.9653
3700,74,-4.5000,-7.6080,0.004221,0.9648
3750,75,-5.7000,-7.5840,,0.9644
3800,76,-6.9000,-7.5600,0.002941,0.9639
3850,77,-8.1000,-7.5720,,0.9634
3900,78,-8.1000,-7.5480,0.004060,0.9629
3950,79,-8.1000,-7.5480,,0.9625
4000,80,-8.1000,-7.5480,0.000939,0.9620
4050,81,-7.5000,-7.5600,,0.9615
4100,82,-8.7000,-7.5720,0.005891,0.9610
4150,83,-5.1000,-7.5240,,0.9606
4200,84,-8.1000,-7.5240,0.004687,0.9601
4250,85,-7.5000,-7.5120,,0.9596
4300,86,-7.5000,-7.5000,0.007394,0.9591
4350,87,-8.1000,-7.5000,,0.9587
4400,88,-7.5000,-7.4880,0.005827,0.9582
4450,89,-7.5000,-7.4640,,0.9577
4500,90,-5.7000,-7.4400,0.006942,0.9572
4550,91,-7.5000,-7.4400,,0.9568
4600,92,-7.5000,-7.4520,0.002951,0.9563
4650,93,-6.3000,-7.4040,,0.9558
4700,94,-6.9000,-7.3680,0.002172,0.9553
4750,95,-6.9000,-7.3800,,0.9549
4800,96,-5.7000,-7.3440,0.004801,0.9544
4850,97,-7.5000,-7.3320,,0.9539
4900,98,-7.5000,-7.3440,0.002065,0.9534
4950,99,-8.1000,-7.3440,,0.9530
5000,100,-6.9000,-7.3200,0.008603,0.9525
5050,101,-8.1000,-7.3080,,0.9520
5100,102,-6.3000,-7.3080,0.005295,0.9516
5150,103,-8.7000,-7.3320,,0.9511
5200,104,-7.5000,-7.3560,0.002442,0.9506
5250,105,-8.7000,-7.3920,,0.9501
5300,106,-8.1000,-7.4640,0.007531,0.9496
5350,107,-8.1000,-7.4760,,0.9492
5400,108,-8.7000,-7.4760,0.002720,0.9487
5450,109,-7.5000,-7.4640,,0.9482
5500,110,-7.5000,-7.4640,0.006371,0.9477
5550,111,-8.1000,-7.4760,,0.9473
5600,112,-5.7000,-7.4520,0.002501,0.9468
5650,113,-8.1000,-7.4400,,0.9463
5700,114,-8.1000,-7.4520,0.006678,0.9458
5750,115,-8.7000,-7.4520,,0.9454
5800,116,-6.9000,-7.4280,0.004972,0.9449
5850,117,-8.1000,-7.4520,,0.9444
5900,118,-8.1000,-7.4640,0.005238,0.9440
5950,119,-8.1000,-7.4880,,0.9435
6000,120,-6.9000,-7.4640,0.004027,0.9430
6050,121,-7.5000,-7.4520,,0.9425
6100,122,-8.1000,-7.4640,0.007044,0.9421
6150,123,-8.1000,-7.4640,,0.9416
6200,124,-8.1000,-7.5360,0.005242,0.9411
6250,125,-8.1000,-7.5840,,0.9406
6300,126,-8.1000,-7.6080,0.005657,0.9402
6350,127,-8.1000,-7.6080,,0.9397
6400,128,-8.1000,-7.6080,0.006940,0.9392
6450,129,-8.1000,-7.6080,,0.9387
6500,130,-5.7000,-7.5600,0.005090,0.9383
6550,131,-5.7000,-7.5240,,0.9378
6600,132,-8.1000,-7.5120,0.004046,0.9373
6650,133,-6.3000,-7.5360,,0.9368
6700,134,-8.1000,-7.5360,0.006766,0.9364
6750,135,-8.1000,-7.5480,,0.9359
6800,136,-8.1000,-7.5600,0.006493,0.9354
6850,137,-7.5000,-7.5480,,0.9349
6900,138,-7.5000,-7.5480,0.004723,0.9345
6950,139,-7.5000,-7.5480,,0.9340
7000,140,-8.1000,-7.5960,0.005879,0.9335
7050,141,-5.1000,-7.5480,,0.9330
7100,142,-8.1000,-7.5600,0.008028,0.9326
7150,143,-6.9000,-7.5720,,0.9321
7200,144,-8.1000,-7.5960,0.008506,0.9316
7250,145,-6.3000,-7.5840,,0.9311
7300,146,-7.5000,-7.6200,0.007349,0.9307
7350,147,-8.1000,-7.6320,,0.9302
7400,148,-8.7000,-7.6560,0.007494,0.9297
7450,149,-7.5000,-7.6440,,0.9292
