step,episode,ep_return,moving_return,loss,epsilon
50,1,-6.3000,-6.3000,,0.9995
100,2,-7.5000,-6.9000,,0.9990
150,3,-7.5000,-7.1000,,0.9986
200,4,-8.7000,-7.5000,,0.9981
250,5,-7.5000,-7.5000,,0.9976
300,6,-8.1000,-7.6000,,0.9971
350,7,-6.3000,-7.4143,,0.9967
400,8,-8.1000,-7.5000,,0.9962
450,9,-8.7000,-7.6333,,0.9957
500,10,-8.1000,-7.6800,,0.9952
550,11,-3.3000,-7.2818,,0.9948
600,12,-5.7000,-7.1500,,0.9943
650,13,-5.7000,-7.0385,,0.9938
700,14,-7.5000,-7.0714,,0.9933
750,15,-6.3000,-7.0200,,0.9929
800,16,-6.9000,-7.0125,,0.9924
850,17,-8.1000,-7.0765,,0.9919
900,18,-8.7000,-7.1667,,0.9914
950,19,-6.9000,-7.1526,,0.9910
1000,20,-6.9000,-7.1400,,0.9905
1050,21,-6.3000,-7.1000,,0.9900
1100,22,-7.5000,-7.1182,0.011024,0.9896
1150,23,-6.9000,-7.1087,,0.9891
1200,24,-6.3000,-7.0750,0.004990,0.9886
1250,25,-8.1000,-7.1160,,0.9881
1300,26,-5.7000,-7.0615,0.003579,0.9877
1350,27,-6.3000,-7.0333,,0.9872
1400,28,-8.7000,-7.0929,0.003979,0.9867
1450,29,-8.1000,-7.1276,,0.9862
1500,30,-8.1000,-7.1600,0.005005,0.9858
1550,31,-8.7000,-7.2097,,0.9853
1600,32,-6.9000,-7.2000,0.007017,0.9848
1650,33,-7.5000,-7.2091,,0.9843
1700,34,-8.1000,-7.2353,0.003035,0.9839
1750,35,-6.9000,-7.2257,,0.9834
1800,36,-6.9000,-7.2167,0.008377,0.9829
1850,37,-6.3000,-7.1919,,0.9824
1900,38,-8.1000,-7.2158,0.004970,0.9819
1950,39,-7.5000,-7.2231,,0.9815
2000,40,-7.5000,-7.2300,0.001577,0.9810
2050,41,-8.1000,-7.2512,,0.9805
2100,42,-8.1000,-7.2714,0.011071,0.9800
2150,43,-7.5000,-7.2767,,0.9796
2200,44,-8.1000,-7.2955,0.004214,0.9791
2250,45,-6.9000,-7.2867,,0.9786
2300,46,-8.1000,-7.3043,0.003770,0.9781
2350,47,-7.5000,-7.3085,,0.9777
2400,48,-7.5000,-7.3125,0.003818,0.9772
2450,49,-6.9000,-7.3041,,0.9767
2500,50,-7.5000,-7.3080,0.007159,0.9762
2550,51,-8.1000,-7.3440,,0.9758
2600,52,-6.3000,-7.3200,0.002460,0.9753
2650,53,-7.5000,-7.3200,,0.9748
2700,54,-6.3000,-7.2720,0.002747,0.9743
2750,55,-8.1000,-7.2840,,0.9739
2800,56,-8.7000,-7.2960,0.005736,0.9734
2850,57,-7.5000,-7.3200,,0.9729
2900,58,-7.5000,-7.3080,0.002793,0.9724
2950,59,-8.7000,-7.3080,,0.9720
3000,60,-6.3000,-7.2720,0.003111,0.9715
3050,61,-8.1000,-7.3680,,0.9710
3100,62,-7.5000,-7.4040,0.009472,0.9706
3150,63,-7.5000,-7.4400,,0.9701
3200,64,-8.1000,-7.4520,0.014683,0.9696
3250,65,-8.1000,-7.4880,,0.9691
3300,66,-6.9000,-7.4880,0.002410,0.9687
3350,67,-3.9000,-7.4040,,0.9682
3400,68,-8.7000,-7.4040,0.004373,0.9677
3450,69,-8.7000,-7.4400,,0.9672
3500,70,-8.1000,-7.4640,0.005197,0.9667
3550,71,-8.7000,-7.5120,,0.9663
3600,72,-8.7000,-7.5360,0.004360,0.9658
3650,73,-9.3000,-7.5840,,0.9653
3700,74,-7.5000,-7.6080,0.003745,0.9648
3750,75,-8.1000,-7.6080,,0.9644
3800,76,-6.9000,-7.6320,0.006329,0.9639
3850,77,-7.5000,-7.6560,,0.9634
3900,78,-6.3000,-7.6080,0.003668,0.9629
3950,79,-8.1000,-7.6080,,0.9625
4000,80,-7.5000,-7.5960,0.004137,0.9620
4050,81,-7.5000,-7.5720,,0.9615
4100,82,-8.7000,-7.6080,0.010046,0.9610
4150,83,-7.5000,-7.6080,,0.9606
4200,84,-8.1000,-7.6080,0.003323,0.9601
4250,85,-6.9000,-7.6080,,0.9596
4300,86,-8.7000,-7.6440,0.006245,0.9591
4350,87,-8.1000,-7.6800,,0.9587
4400,88,-8.1000,-7.6800,0.002676,0.9582
4450,89,-7.5000,-7.6800,,0.9577
4500,90,-8.7000,-7.7040,0.006706,0.9572
4550,91,-8.1000,-7.7040,,0.9568
4600,92,-7.5000,-7.6920,0.004749,0.9563
4650,93,-6.9000,-7.6800,,0.9558
4700,94,-7.5000,-7.6680,0.003649,0.9553
4750,95,-6.9000,-7.6680,,0.9549
4800,96,-8.1000,-7.6680,0.004629,0.9544
4850,97,-7.5000,-7.6680,,0.9539
4900,98,-7.5000,-7.6680,0.002560,0.9534
4950,99,-8.7000,-7.7040,,0.9530
5000,100,-7.5000,-7.7040,0.003329,0.9525
5050,101,-8.1000,-7.7040,,0.9520
5100,102,-7.5000,-7.7280,0.009589,0.9516
5150,103,-8.1000,-7.7400,,0.9511
5200,104,-8.1000,-7.7760,0.010521,0.9506
5250,105,-8.7000,-7.7880,,0.9501
5300,106,-8.7000,-7.7880,0.004678,0.9496
5350,107,-6.3000,-7.7640,,0.9492
5400,108,-3.3000,-7.6800,0.004475,0.9487
5450,109,-8.1000,-7.6680,,0.9482
5500,110,-8.1000,-7.7040,0.005698,0.9477
5550,111,-7.5000,-7.6920,,0.9473
5600,112,-8.7000,-7.7160,0.002175,0.9468
5650,113,-6.9000,-7.7040,,0.9463
5700,114,-7.5000,-7.6920,0.004563,0.9458
5750,115,-8.1000,-7.6920,,0.9454
5800,116,-7.5000,-7.7040,0.004255,0.9449
5850,117,-8.1000,-7.7880,,0.9444
5900,118,-5.7000,-7.7280,0.002305,0.9440
5950,119,-9.3000,-7.7400,,0.9435
6000,120,-8.1000,-7.7400,0.004676,0.9430
6050,121,-8.7000,-7.7400,,0.9425
6100,122,-8.7000,-7.7400,0.006926,0.9421
6150,123,-8.1000,-7.7160,,0.9416
6200,124,-8.1000,-7.7280,0.007469,0.9411
6250,125,-8.1000,-7.7280,,0.9406
6300,126,-7.5000,-7.7400,0.009602,0.9402
6350,127,-6.9000,-7.7280,,0.9397
6400,128,-7.5000,-7.7520,0.003015,0.9392
6450,129,-8.1000,-7.7520,,0.9387
6500,130,-8.1000,-7.7640,0.005943,0.9383
6550,131,-6.3000,-7.7400,,0.9378
6600,132,-7.5000,-7.7160,0.005979,0.9373
6650,133,-6.9000,-7.7040,,0.9368
6700,134,-6.9000,-7.6800,0.004575,0.9364
6750,135,-7.5000,-7.6920,,0.9359
6800,136,-7.5000,-7.6680,0.003360,0.9354
6850,137,-8.1000,-7.6680,,0.9349
6900,138,-6.3000,-7.6320,0.002528,0.9345
6950,139,-8.1000,-7.6440,,0.9340
7000,140,-6.9000,-7.6080,0.003476,0.9335
7050,141,-7.5000,-7.5960,,0.9330
7100,142,-8.7000,-7.6200,0.005639,0.9326
7150,143,-5.7000,-7.5960,,0.9321
7200,144,-6.3000,-7.5720,0.004992,0.9316
7250,145,-7.5000,-7.5840,,0.9311
7300,146,-6.9000,-7.5600,0.003599,0.9307
7350,147,-7.5000,-7.5600,,0.9302
7400,148,-8.1000,-7.5720,0.005082,0.9297
7450,149,-8.1000,-7.5600,,0.9292
