step,episode,ep_return,moving_return,loss,epsilon
50,1,-6.3000,-6.3000,,0.9990
100,2,-8.7000,-7.5000,,0.9981
150,3,-8.1000,-7.7000,,0.9971
200,4,-8.1000,-7.8000,,0.9962
250,5,-6.9000,-7.6200,,0.9952
300,6,-8.1000,-7.7000,,0.9943
350,7,-7.5000,-7.6714,,0.9933
400,8,-3.3000,-7.1250,,0.9924
450,9,-7.5000,-7.1667,,0.9914
500,10,-8.1000,-7.2600,,0.9905
550,11,-8.7000,-7.3909,,0.9896
600,12,-8.1000,-7.4500,,0.9886
650,13,-5.7000,-7.3154,,0.9877
700,14,-8.1000,-7.3714,,0.9867
750,15,-6.9000,-7.3400,,0.9858
800,16,-7.5000,-7.3500,,0.9848
850,17,-5.1000,-7.2176,,0.9839
900,18,-8.1000,-7.2667,,0.9829
950,19,-8.1000,-7.3105,,0.9819
1000,20,-6.9000,-7.2900,,0.9810
1050,21,-8.1000,-7.3286,,0.9800
1100,22,-8.1000,-7.3636,0.008129,0.9791
1150,23,-6.9000,-7.3435,,0.9781
1200,24,-6.9000,-7.3250,0.007279,0.9772
1250,25,-6.9000,-7.3080,,0.9762
1300,26,-8.7000,-7.3615,0.004749,0.9753
1350,27,-7.5000,-7.3667,,0.9743
1400,28,-8.1000,-7.3929,0.006593,0.9734
1450,29,-8.1000,-7.4172,,0.9724
1500,30,-7.5000,-7.4200,0.005246,0.9715
1550,31,-6.9000,-7.4032,,0.9706
1600,32,-6.9000,-7.3875,0.003844,0.9696
1650,33,-8.1000,-7.4091,,0.9687
1700,34,-7.5000,-7.4118,0.006787,0.9677
1750,35,-8.7000,-7.4486,,0.9667
1800,36,-8.1000,-7.4667,0.003523,0.9658
1850,37,-5.7000,-7.4189,,0.9648
1900,38,-6.9000,-7.4053,0.006449,0.9639
1950,39,-8.1000,-7.4231,,0.9629
2000,40,-7.5000,-7.4250,0.007961,0.9620
2050,41,-8.1000,-7.4415,,0.9610
2100,42,-6.3000,-7.4143,0.005797,0.9601
2150,43,-7.5000,-7.4163,,0.9591
2200,44,-7.5000,-7.4182,0.009958,0.9582
2250,45,-8.7000,-7.4467,,0.9572
