step,episode,ep_return,moving_return,loss,epsilon
50,1,-7.5000,-7.5000,,0.9995
100,2,-8.1000,-7.8000,,0.9990
150,3,-7.5000,-7.7000,,0.9986
200,4,-8.1000,-7.8000,,0.9981
250,5,-7.5000,-7.7400,,0.9976
300,6,-7.5000,-7.7000,,0.9971
350,7,-8.1000,-7.7571,,0.9967
400,8,-6.3000,-7.5750,,0.9962
450,9,-7.5000,-7.5667,,0.9957
500,10,-8.1000,-7.6200,,0.9952
550,11,-7.5000,-7.6091,,0.9948
600,12,-8.1000,-7.6500,,0.9943
650,13,-7.5000,-7.6385,,0.9938
700,14,-7.5000,-7.6286,,0.9933
750,15,-8.1000,-7.6600,,0.9929
800,16,-8.1000,-7.6875,,0.9924
850,17,-8.7000,-7.7471,,0.9919
900,18,-8.1000,-7.7667,,0.9914
950,19,-8.7000,-7.8158,,0.9910
1000,20,-8.7000,-7.8600,,0.9905
1050,21,-5.1000,-7.7286,,0.9900
1100,22,-8.1000,-7.7455,0.011004,0.9896
1150,23,-6.3000,-7.6826,,0.9891
1200,24,-7.5000,-7.6750,0.003491,0.9886
1250,25,-8.1000,-7.6920,,0.9881
1300,26,-6.9000,-7.6615,0.003793,0.9877
1350,27,-7.5000,-7.6556,,0.9872
1400,28,-7.5000,-7.6500,0.007634,0.9867
1450,29,-7.5000,-7.6448,,0.9862
1500,30,-7.5000,-7.6400,0.007706,0.9858
1550,31,-6.3000,-7.5968,,0.9853
1600,32,-7.5000,-7.5937,0.001554,0.9848
1650,33,-8.1000,-7.6091,,0.9843
1700,34,-7.5000,-7.6059,0.004002,0.9839
1750,35,-5.7000,-7.5514,,0.9834
1800,36,-8.1000,-7.5667,0.002435,0.9829
1850,37,-7.5000,-7.5649,,0.9824
1900,38,-8.1000,-7.5789,0.002554,0.9819
1950,39,-8.1000,-7.5923,,0.9815
2000,40,-8.7000,-7.6200,0.005152,0.9810
2050,41,-7.5000,-7.6171,,0.9805
2100,42,-6.9000,-7.6000,0.011223,0.9800
2150,43,-8.1000,-7.6116,,0.9796
2200,44,-7.5000,-7.6091,0.013061,0.9791
2250,45,-7.5000,-7.6067,,0.9786
2300,46,-7.5000,-7.6043,0.014291,0.9781
2350,47,-7.5000,-7.6021,,0.9777
2400,48,-5.7000,-7.5625,0.006759,0.9772
2450,49,-8.7000,-7.5857,,0.9767
2500,50,-8.1000,-7.5960,0.003003,0.9762
2550,51,-7.5000,-7.5960,,0.9758
2600,52,-8.1000,-7.5960,0.004560,0.9753
2650,53,-5.1000,-7.5480,,0.9748
2700,54,-8.1000,-7.5480,0.007002,0.9743
2750,55,-7.5000,-7.5480,,0.9739
2800,56,-6.3000,-7.5240,0.005877,0.9734
2850,57,-8.7000,-7.5360,,0.9729
2900,58,-8.1000,-7.5720,0.004153,0.9724
2950,59,-8.1000,-7.5840,,0.9720
3000,60,-8.1000,-7.5840,0.003030,0.9715
3050,61,-7.5000,-7.5840,,0.9710
3100,62,-7.5000,-7.5720,0.007059,0.9706
3150,63,-8.1000,-7.5840,,0.9701
3200,64,-8.1000,-7.5960,0.010856,0.9696
3250,65,-7.5000,-7.5840,,0.9691
3300,66,-7.5000,-7.5720,0.004255,0.9687
3350,67,-8.1000,-7.5600,,0.9682
3400,68,-7.5000,-7.5480,0.006678,0.9677
3450,69,-8.1000,-7.5360,,0.9672
3500,70,-7.5000,-7.5120,0.002034,0.9667
3550,71,-8.1000,-7.5720,,0.9663
3600,72,-6.9000,-7.5480,0.001319,0.9658
3650,73,-8.7000,-7.5960,,0.9653
3700,74,-7.5000,-7.5960,0.009443,0.9648
3750,75,-7.5000,-7.5840,,0.9644
3800,76,-8.1000,-7.6080,0.004981,0.9639
3850,77,-7.5000,-7.6080,,0.9634
3900,78,-8.1000,-7.6200,0.005518,0.9629
3950,79,-5.7000,-7.5840,,0.9625
4000,80,-7.5000,-7.5840,0.005270,0.9620
4050,81,-8.1000,-7.6200,,0.9615
4100,82,-8.1000,-7.6320,0.008113,0.9610
4150,83,-7.5000,-7.6200,,0.9606
4200,84,-8.1000,-7.6320,0.003775,0.9601
