step,episode,ep_return,moving_return,loss,epsilon
50,1,-7.5000,-7.5000,,0.9995
100,2,-6.9000,-7.2000,,0.9990
150,3,-8.1000,-7.5000,,0.9986
200,4,-7.5000,-7.5000,,0.9981
250,5,-8.1000,-7.6200,,0.9976
300,6,-7.5000,-7.6000,,0.9971
350,7,-5.7000,-7.3286,,0.9967
400,8,-7.5000,-7.3500,,0.9962
450,9,-8.1000,-7.4333,,0.9957
500,10,-7.5000,-7.4400,,0.9952
550,11,-6.9000,-7.3909,,0.9948
600,12,-8.1000,-7.4500,,0.9943
650,13,-7.5000,-7.4538,,0.9938
700,14,-8.1000,-7.5000,,0.9933
750,15,-8.1000,-7.5400,,0.9929
800,16,-8.1000,-7.5750,,0.9924
850,17,-6.3000,-7.5000,,0.9919
900,18,-8.7000,-7.5667,,0.9914
950,19,-8.1000,-7.5947,,0.9910
1000,20,-6.9000,-7.5600,,0.9905
1050,21,-7.5000,-7.5571,,0.9900
1100,22,-6.9000,-7.5273,0.021038,0.9896
1150,23,-8.1000,-7.5522,,0.9891
1200,24,-8.1000,-7.5750,0.014690,0.9886
1250,25,-7.5000,-7.5720,,0.9881
1300,26,-6.3000,-7.5231,0.023164,0.9877
1350,27,-5.7000,-7.4556,,0.9872
1400,28,-6.3000,-7.4143,0.010986,0.9867
1450,29,-8.1000,-7.4379,,0.9862
1500,30,-6.9000,-7.4200,0.005789,0.9858
1550,31,-6.9000,-7.4032,,0.9853
1600,32,-8.1000,-7.4250,0.006623,0.9848
1650,33,-8.1000,-7.4455,,0.9843
1700,34,-6.9000,-7.4294,0.007453,0.9839
1750,35,-6.9000,-7.4143,,0.9834
1800,36,-8.1000,-7.4333,0.005522,0.9829
1850,37,-7.5000,-7.4351,,0.9824
1900,38,-7.5000,-7.4368,0.008975,0.9819
1950,39,-7.5000,-7.4385,,0.9815
2000,40,-6.9000,-7.4250,0.007444,0.9810
2050,41,-8.7000,-7.4561,,0.9805
2100,42,-8.1000,-7.4714,0.010012,0.9800
2150,43,-8.1000,-7.4860,,0.9796
2200,44,-8.1000,-7.5000,0.005953,0.9791
2250,45,-8.1000,-7.5133,,0.9786
2300,46,-7.5000,-7.5130,0.005210,0.9781
2350,47,-8.1000,-7.5255,,0.9777
2400,48,-8.1000,-7.5375,0.005862,0.9772
2450,49,-8.7000,-7.5612,,0.9767
2500,50,-8.1000,-7.5720,0.004077,0.9762
2550,51,-8.7000,-7.5960,,0.9758
2600,52,-8.1000,-7.6200,0.003121,0.9753
2650,53,-8.1000,-7.6200,,0.9748
2700,54,-6.9000,-7.6080,0.002398,0.9743
2750,55,-7.5000,-7.5960,,0.9739
2800,56,-8.7000,-7.6200,0.005941,0.9734
2850,57,-8.1000,-7.6680,,0.9729
2900,58,-8.7000,-7.6920,0.005918,0.9724
2950,59,-7.5000,-7.6800,,0.9720
3000,60,-6.9000,-7.6680,0.005397,0.9715
3050,61,-6.9000,-7.6680,,0.9710
3100,62,-7.5000,-7.6560,0.011499,0.9706
3150,63,-7.5000,-7.6560,,0.9701
3200,64,-8.1000,-7.6560,0.007137,0.9696
3250,65,-8.1000,-7.6560,,0.9691
3300,66,-7.5000,-7.6440,0.004769,0.9687
3350,67,-8.1000,-7.6800,,0.9682
3400,68,-8.1000,-7.6680,0.009817,0.9677
3450,69,-5.1000,-7.6080,,0.9672
3500,70,-8.1000,-7.6320,0.008374,0.9667
3550,71,-7.5000,-7.6320,,0.9663
3600,72,-8.1000,-7.6560,0.006178,0.9658
3650,73,-7.5000,-7.6440,,0.9653
3700,74,-6.9000,-7.6200,0.003534,0.9648
3750,75,-5.7000,-7.5840,,0.9644
3800,76,-8.1000,-7.6200,0.005067,0.9639
3850,77,-6.9000,-7.6440,,0.9634
3900,78,-8.1000,-7.6800,0.006137,0.9629
3950,79,-8.1000,-7.6800,,0.9625
4000,80,-6.3000,-7.6680,0.004008,0.9620
4050,81,-8.1000,-7.6920,,0.9615
4100,82,-7.5000,-7.6800,0.014296,0.9610
4150,83,-7.5000,-7.6680,,0.9606
4200,84,-6.3000,-7.6560,0.008679,0.9601
4250,85,-7.5000,-7.6680,,0.9596
4300,86,-8.7000,-7.6800,0.005799,0.9591
4350,87,-6.9000,-7.6680,,0.9587
4400,88,-6.9000,-7.6560,0.004941,0.9582
4450,89,-6.9000,-7.6440,,0.9577
4500,90,-7.5000,-7.6560,0.005173,0.9572
4550,91,-6.3000,-7.6080,,0.9568
4600,92,-8.1000,-7.6080,0.009072,0.9563
4650,93,-6.9000,-7.5840,,0.9558
4700,94,-6.3000,-7.5480,0.008466,0.9553
4750,95,-7.5000,-7.5360,,0.9549
4800,96,-6.3000,-7.5120,0.002489,0.9544
4850,97,-7.5000,-7.5000,,0.9539
4900,98,-7.5000,-7.4880,0.003613,0.9534
4950,99,-8.1000,-7.4760,,0.9530
5000,100,-4.5000,-7.4040,0.006290,0.9525
5050,101,-8.1000,-7.3920,,0.9520
5100,102,-6.9000,-7.3680,0.004756,0.9516
5150,103,-8.7000,-7.3800,,0.9511
5200,104,-7.5000,-7.3920,0.006916,0.9506
5250,105,-8.7000,-7.4160,,0.9501
5300,106,-8.1000,-7.4040,0.005879,0.9496
5350,107,-7.5000,-7.3920,,0.9492
5400,108,-7.5000,-7.3680,0.005562,0.9487
5450,109,-8.1000,-7.3800,,0.9482
5500,110,-8.7000,-7.4160,0.002954,0.9477
5550,111,-8.1000,-7.4400,,0.9473
5600,112,-8.7000,-7.4640,0.006123,0.9468
5650,113,-8.1000,-7.4760,,0.9463
5700,114,-7.5000,-7.4640,0.003833,0.9458
5750,115,-6.3000,-7.4280,,0.9454
5800,116,-7.5000,-7.4280,0.005773,0.9449
5850,117,-8.1000,-7.4280,,0.9444
5900,118,-7.5000,-7.4160,0.003844,0.9440
5950,119,-7.5000,-7.4640,,0.9435
6000,120,-7.5000,-7.4520,0.005729,0.9430
6050,121,-7.5000,-7.4520,,0.9425
6100,122,-8.1000,-7.4520,0.013841,0.9421
6150,123,-8.1000,-7.4640,,0.9416
6200,124,-8.1000,-7.4880,0.007518,0.9411
6250,125,-5.1000,-7.4760,,0.9406
6300,126,-7.5000,-7.4640,0.006264,0.9402
6350,127,-7.5000,-7.4760,,0.9397
6400,128,-6.9000,-7.4520,0.006736,0.9392
6450,129,-8.7000,-7.4640,,0.9387
6500,130,-8.1000,-7.5000,0.003102,0.9383
6550,131,-8.7000,-7.5120,,0.9378
6600,132,-7.5000,-7.5120,0.003828,0.9373
6650,133,-8.1000,-7.5240,,0.9368
6700,134,-5.1000,-7.5000,0.005947,0.9364
6750,135,-8.1000,-7.5120,,0.9359
6800,136,-6.3000,-7.4640,0.006211,0.9354
6850,137,-8.1000,-7.4880,,0.9349
6900,138,-8.1000,-7.5120,0.004603,0.9345
6950,139,-8.1000,-7.5360,,0.9340
7000,140,-6.3000,-7.5120,0.004703,0.9335
7050,141,-5.7000,-7.5000,,0.9330
7100,142,-6.3000,-7.4640,0.006011,0.9326
7150,143,-8.1000,-7.4880,,0.9321
7200,144,-8.1000,-7.5240,0.009110,0.9316
7250,145,-6.9000,-7.5120,,0.9311
7300,146,-8.1000,-7.5480,0.003720,0.9307
7350,147,-6.9000,-7.5360,,0.9302
7400,148,-8.1000,-7.5480,0.004448,0.9297
7450,149,-6.9000,-7.5240,,0.9292
7500,150,-8.1000,-7.5960,0.007988,0.9288
7550,151,-8.1000,-7.5960,,0.9283
7600,152,-6.9000,-7.5960,0.003070,0.9278
7650,153,-7.5000,-7.5720,,0.9273
7700,154,-8.1000,-7.5840,0.004141,0.9269
7750,155,-6.3000,-7.5360,,0.9264
7800,156,-8.1000,-7.5360,0.006471,0.9259
7850,157,-8.1000,-7.5480,,0.9254
7900,158,-7.5000,-7.5480,0.004957,0.9250
7950,159,-8.1000,-7.5480,,0.9245
8000,160,-7.5000,-7.5240,0.007004,0.9240
8050,161,-7.5000,-7.5120,,0.9235
8100,162,-7.5000,-7.4880,0.011634,0.9231
8150,163,-6.9000,-7.4640,,0.9226
8200,164,-5.1000,-7.4160,0.004504,0.9221
8250,165,-8.1000,-7.4520,,0.9216
8300,166,-7.5000,-7.4520,0.008463,0.9212
8350,167,-8.7000,-7.4640,,0.9207
8400,168,-7.5000,-7.4640,0.006290,0.9202
8450,169,-8.7000,-7.4880,,0.9197
8500,170,-6.3000,-7.4640,0.005291,0.9193
8550,171,-7.5000,-7.4640,,0.9188
8600,172,-8.1000,-7.4640,0.005565,0.9183
8650,173,-7.5000,-7.4520,,0.9178
8700,174,-7.5000,-7.4400,0.004429,0.9173
8750,175,-6.9000,-7.4760,,0.9169
8800,176,-7.5000,-7.4760,0.002769,0.9164
8850,177,-8.1000,-7.4880,,0.9159
8900,178,-6.9000,-7.4880,0.004908,0.9154
8950,179,-7.5000,-7.4640,,0.9150
9000,180,-8.7000,-7.4760,0.006780,0.9145
9050,181,-6.9000,-7.4400,,0.9140
9100,182,-8.1000,-7.4520,0.005673,0.9136
9150,183,-8.1000,-7.4520,,0.9131
9200,184,-6.9000,-7.4880,0.005085,0.9126
9250,185,-6.9000,-7.4640,,0.9121
9300,186,-5.1000,-7.4400,0.006634,0.9117
9350,187,-7.5000,-7.4280,,0.9112
9400,188,-6.3000,-7.3920,0.007796,0.9107
9450,189,-8.1000,-7.3920,,0.9102
9500,190,-7.5000,-7.4160,0.005214,0.9098
9550,191,-5.7000,-7.4160,,0.9093
9600,192,-8.1000,-7.4520,0.004180,0.9088
9650,193,-7.5000,-7.4400,,0.9083
9700,194,-7.5000,-7.4280,0.002210,0.9079
9750,195,-5.1000,-7.3920,,0.9074
9800,196,-7.5000,-7.3800,0.003214,0.9069
9850,197,-7.5000,-7.3920,,0.9064
9900,198,-8.1000,-7.3920,0.001972,0.9060
9950,199,-8.1000,-7.4160,,0.9055
10000,200,-7.5000,-7.4040,0.005292,0.9050
